Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,1992,1992,7021,Annual value,LCU,14750,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,1993,1993,7021,Annual value,LCU,11225,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,1994,1994,7021,Annual value,LCU,12075,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,1995,1995,7021,Annual value,LCU,12500,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,1996,1996,7021,Annual value,LCU,15375,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,1997,1997,7021,Annual value,LCU,16425,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,1998,1998,7021,Annual value,LCU,16150,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,1999,1999,7021,Annual value,LCU,13475,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2000,2000,7021,Annual value,LCU,10975,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2002,2002,7021,Annual value,LCU,18500,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2003,2003,7021,Annual value,LCU,26700,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2004,2004,7021,Annual value,LCU,26900,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2005,2005,7021,Annual value,LCU,27120,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2006,2006,7021,Annual value,LCU,28430,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2007,2007,7021,Annual value,LCU,30620,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2008,2008,7021,Annual value,LCU,32520,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2009,2009,7021,Annual value,LCU,36448,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01343,Apricots,2010,2010,7021,Annual value,LCU,32102,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1991,1991,7021,Annual value,LCU,5000,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1992,1992,7021,Annual value,LCU,7222,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1993,1993,7021,Annual value,LCU,7778,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1994,1994,7021,Annual value,LCU,8889,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1995,1995,7021,Annual value,LCU,9445,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1996,1996,7021,Annual value,LCU,8889,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1997,1997,7021,Annual value,LCU,9445,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1998,1998,7021,Annual value,LCU,9445,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,1999,1999,7021,Annual value,LCU,450,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2000,2000,7021,Annual value,LCU,10000,X,Figure from international organizations
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2002,2002,7021,Annual value,LCU,7619,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2003,2003,7021,Annual value,LCU,9524,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2004,2004,7021,Annual value,LCU,9600,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2005,2005,7021,Annual value,LCU,9630,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2006,2006,7021,Annual value,LCU,9800,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2007,2007,7021,Annual value,LCU,10500,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2008,2008,7021,Annual value,LCU,11000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2009,2009,7021,Annual value,LCU,16000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01312,Bananas,2010,2010,7021,Annual value,LCU,19000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1991,1991,7021,Annual value,LCU,3875,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1992,1992,7021,Annual value,LCU,4500,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1993,1993,7021,Annual value,LCU,4925,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1994,1994,7021,Annual value,LCU,4025,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1995,1995,7021,Annual value,LCU,4375,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1996,1996,7021,Annual value,LCU,5975,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1997,1997,7021,Annual value,LCU,6250,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1998,1998,7021,Annual value,LCU,7200,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,1999,1999,7021,Annual value,LCU,7275,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2000,2000,7021,Annual value,LCU,7500,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2002,2002,7021,Annual value,LCU,7350,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2003,2003,7021,Annual value,LCU,7800,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2004,2004,7021,Annual value,LCU,8000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2005,2005,7021,Annual value,LCU,8200,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2006,2006,7021,Annual value,LCU,9000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2007,2007,7021,Annual value,LCU,10000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2008,2008,7021,Annual value,LCU,10300,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2009,2009,7021,Annual value,LCU,20925,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),0115,Barley,2010,2010,7021,Annual value,LCU,22550,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7001,January,LCU,312737.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7002,February,LCU,344750.3,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7003,March,LCU,353458.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7004,April,LCU,376906.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7005,May,LCU,388101.3,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7006,June,LCU,404277,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7007,July,LCU,419178,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7008,August,LCU,443580.3,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7009,September,LCU,477272,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7010,October,LCU,490464.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7011,November,LCU,476203,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01701,Dry beans,2023,2023,7012,December,LCU,478582.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2020,2020,7021,Annual value,LCU,44917.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2021,2021,7021,Annual value,LCU,19973.4,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2022,2022,7021,Annual value,LCU,40524.9,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2022,2022,7001,January,LCU,35644.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2022,2022,7002,February,LCU,45458.3,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2022,2022,7003,March,LCU,44777.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2022,2022,7004,April,LCU,46969.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2022,2022,7012,December,LCU,29774.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2023,2023,7021,Annual value,LCU,36192.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2023,2023,7001,January,LCU,27536.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2023,2023,7002,February,LCU,25329.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2023,2023,7003,March,LCU,24994.3,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2023,2023,7004,April,LCU,25416.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01212,Cabbages,2023,2023,7012,December,LCU,77687.2,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2002,2002,7021,Annual value,LCU,9875,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2003,2003,7021,Annual value,LCU,3875,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2004,2004,7021,Annual value,LCU,3900,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2005,2005,7021,Annual value,LCU,4000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2020,2020,7021,Annual value,LCU,55836,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2021,2021,7021,Annual value,LCU,61144.7,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2022,2022,7021,Annual value,LCU,72848.7,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2022,2022,7001,January,LCU,73186,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2022,2022,7002,February,LCU,63163.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2022,2022,7003,March,LCU,86942.8,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2022,2022,7004,April,LCU,107181,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2022,2022,7005,May,LCU,63637.5,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2022,2022,7006,June,LCU,68155,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01229,Cantaloupes,2022,2022,7007,July,LCU,61421.1,A,Official figure
